case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_65463,Hornet Solar (TX),TX,600.0,single-axis,ground-mounted,34.485162,-101.9714,65463
EIA_65468,Highland Park Borough Solar,NJ,0.5,single-axis,ground-mounted,40.4966,-74.41746,65468
EIA_65480,Axial Basin Solar,CO,145.0,single-axis,ground-mounted,40.327892,-107.7533,65480
EIA_65507,Verizon Comms Garage Top Solar Project,CA,2.3,single-axis,ground-mounted,37.354492,-121.9315,65507
EIA_65508,Mendota Rich Dev CSG,IL,2.0,single-axis,ground-mounted,41.541339,-89.14808,65508
EIA_65515,Dodge Renewables 1,MN,1.0,single-axis,ground-mounted,44.01862,-92.86606,65515
EIA_65516,Dodge Renewables 2,MN,1.0,single-axis,ground-mounted,44.02037,-92.86973,65516
EIA_65527,CA-Ventura County CCD-Ventura College,CA,2.5,single-axis,ground-mounted,34.25,-119.25,65527
EIA_65572,Muskegon Solar,MI,250.0,single-axis,ground-mounted,43.232797,-85.99345,65572
EIA_65616,CA - Amazon - SMF6,CA,2.6,single-axis,ground-mounted,38.75,-121.55,65616
EIA_65644,Lumina II Solar Project,TX,326.6,single-axis,ground-mounted,32.883528,-100.7464,65644
EIA_65659,ENGIE 2020 ProjectCo-WI1 LLC,WI,1.0,single-axis,ground-mounted,43.735027,-88.47378,65659
EIA_65827,Halsey Lane Solar Community Solar,NY,5.0,single-axis,ground-mounted,42.603975,-76.83834,65827
EIA_65849,Oriana Solar LLC,TX,180.0,single-axis,ground-mounted,28.905346,-96.97808,65849
EIA_65885,Boardwalk,FL,74.5,single-axis,ground-mounted,26.483507,-81.46766,65885
EIA_65887,Price Creek,FL,74.5,single-axis,ground-mounted,30.160723,-82.55836,65887
EIA_65888,Kayak,FL,74.5,single-axis,ground-mounted,30.415143,-86.4233,65888
EIA_65891,Orange Grove,TX,131.0,single-axis,ground-mounted,27.918286,-97.98045,65891
EIA_65894,Stillhouse Solar,TX,210.0,single-axis,ground-mounted,30.967591,-97.16511,65894
EIA_65905,Mare Branch,FL,74.5,single-axis,ground-mounted,27.30365,-81.76741,65905
EIA_65911,Mitchell Creek,FL,74.5,single-axis,ground-mounted,30.92851,-87.26414,65911
EIA_65913,Speckled Perch,FL,74.5,single-axis,ground-mounted,27.278413,-80.80238,65913
EIA_65940,Shasta College PH2 Solar Project,CA,1.5,single-axis,ground-mounted,40.62524,-122.314,65940
EIA_66027,Wolfskin Solar,GA,38.0,single-axis,ground-mounted,33.881462,-83.24668,66027
EIA_66107,"Blue Elk I Solar, LLC",MI,20.0,single-axis,ground-mounted,41.919,-83.996,66107
EIA_66256,Source Power Company - Aldrich,NY,5.0,single-axis,ground-mounted,44.534193,-75.65947,66256
EIA_66352,Longleaf Pine Solar LLC,NC,5.0,single-axis,ground-mounted,35.97964,-80.45767,66352
EIA_66356,Williams Solar LLC,NC,5.0,single-axis,ground-mounted,35.27917,-78.3704,66356
EIA_66432,USS Fruita Solar LLC CSG,CO,2.0,single-axis,ground-mounted,39.09194,-108.4231,66432
EIA_66433,USS Fair Park Solar LLC (CSG),MN,1.0,single-axis,ground-mounted,44.19168,-93.19052,66433
EIA_66435,USS Cosmo Solar LLC (CSG),MN,1.0,single-axis,ground-mounted,44.47057,-95.06007,66435
EIA_66449,Northline Solar CSG,NY,4.0,single-axis,ground-mounted,42.8691,-73.6153,66449
