T	BoM MJO RMM phase
julian_day	unitless
    2443144.    	    3.000000    
    2443145.    	    3.000000    
    2443146.    	    3.000000    
    2443147.    	    4.000000    
    2443148.    	    4.000000    
    2443149.    	    5.000000    
    2443150.    	    6.000000    
    2443151.    	    6.000000    
    2443152.    	    6.000000    
    2443153.    	    6.000000    
    2443154.    	    7.000000    
    2443155.    	    6.000000    
    2443156.    	    6.000000    
    2443157.    	    6.000000    
    2443158.    	    7.000000    
    2443159.    	    7.000000    
    2443160.    	    7.000000    
    2443161.    	    7.000000    
    2443162.    	    8.000000    
    2443163.    	    8.000000    
    2443164.    	   1.0000000    
    2443165.    	   1.0000000    
    2443166.    	    2.000000    
    2443167.    	   1.0000000    
    2443168.    	   1.0000000    
    2443169.    	    2.000000    
    2443170.    	    2.000000    
    2443171.    	    2.000000    
    2443172.    	    2.000000    
    2443173.    	    2.000000    
    2443174.    	    2.000000    
    2443175.    	    2.000000    
    2443176.    	    2.000000    
    2443177.    	    2.000000    
    2443178.    	    2.000000    
    2443179.    	    2.000000    
