utc,tmpf,dwpf,cloud,load,ens_p10,ens_p50,ens_p90
2026-07-07 21:00:00+00:00,83.26645959813396,66.46702001041048,55.0659121001068,133551.814689236,122070.09866342192,131700.37474309927,140573.3308395567
2026-07-07 22:00:00+00:00,82.39197501721995,66.49670528176712,54.39338676306489,132201.7680143588,121656.8026546995,131215.39634736933,140372.91198626332
2026-07-07 23:00:00+00:00,81.32788198805395,66.52616227126741,53.72741085400294,130632.51918322635,119871.12284203031,128846.6503924433,138677.69528305708
2026-07-08 00:00:00+00:00,80.13312558711046,66.55320018374432,53.05965892376298,128026.62311452671,116605.62128089149,125546.52140016861,135700.9444502025
2026-07-08 01:00:00+00:00,78.70529701033352,66.45208628469366,53.15078725195916,123734.6264066569,113496.72316840755,121327.71260950202,131708.98327413283
2026-07-08 02:00:00+00:00,77.09704211349833,66.32516473985679,53.24565875349005,120521.13686456175,109678.5360949438,118905.10029419586,127943.88001986267
2026-07-08 03:00:00+00:00,75.45927617940069,66.21399515269188,53.35190628037031,114177.00224917075,103101.12497440005,112299.39008133742,121177.56161301114
2026-07-08 04:00:00+00:00,73.97450785865018,66.11305461432167,53.45579914213368,106626.18385246204,98464.83727564692,106143.82170222524,114197.37104236535
2026-07-08 05:00:00+00:00,72.94202514393531,66.00357503472593,53.5461501568765,99964.05008022803,92582.03697138453,99428.88091040171,105405.97692089826
2026-07-08 06:00:00+00:00,72.30959005777524,65.89637188122587,53.641961424842044,95042.29081305466,88513.19984521884,94524.71235220847,100448.96146448262
2026-07-08 07:00:00+00:00,71.90037626838853,65.92931937587946,53.65841479839633,92322.7308366667,86306.51325735413,91645.86759455201,97381.75189386417
2026-07-08 08:00:00+00:00,71.47691549625502,65.96996611558008,53.67279615688665,90698.53409345538,85064.07300968013,89985.4940751829,95585.67017531802
2026-07-08 09:00:00+00:00,71.04163431309883,66.00307647745637,53.68637498908835,90067.54712245907,84401.07666751942,89261.27662708896,95014.68941084712
2026-07-08 10:00:00+00:00,70.6734619854882,66.02257822185975,53.69469162542509,91815.95891703325,85599.5080773509,90855.1977469199,97022.91835437765
2026-07-08 11:00:00+00:00,71.14882556033689,66.05551992173652,53.710787376494565,95531.17942266229,88613.32664753262,94769.75507820863,100702.31115628178
2026-07-08 12:00:00+00:00,72.50878970614434,66.10487233422184,53.73153806987549,99745.46730756282,92643.0402679472,99031.92595615005,105589.16173520482
2026-07-08 13:00:00+00:00,74.4913713662515,65.99649718924722,53.620516604254725,103553.4618373054,96887.17763352144,102927.97817212772,110264.97041159564
2026-07-08 14:00:00+00:00,76.5834581151147,65.87401520158078,53.50917183703485,107463.76554391845,99259.8527203194,106185.30888058894,113631.58476199133
2026-07-08 15:00:00+00:00,78.67601686464819,65.77709168955757,53.39532868989333,112120.67457806131,103679.7321788578,111542.05617590215,118806.4074198695
2026-07-08 16:00:00+00:00,80.73149084898681,65.64877763677205,53.29387987273136,116762.82204656914,108552.46298282621,115881.20391507745,124626.70034048411
2026-07-08 17:00:00+00:00,82.50428167224158,65.54137620630053,53.180472955967915,122994.4511509754,113746.19606592545,121730.9395594796,130921.63695113925
2026-07-08 18:00:00+00:00,83.77177447783295,65.42845180580186,53.07344877776301,128257.37396821001,118185.70307345862,127254.246143231,135675.9228296162
2026-07-08 19:00:00+00:00,84.42116968539932,65.48404292051072,52.23037229465192,131656.28417860763,121181.55900491778,131186.30204045973,139804.41107511055
2026-07-08 20:00:00+00:00,84.49817648571752,65.5428423532183,51.4016005340584,133487.44114379538,124141.34448556633,132807.7544821079,141308.19232916957
2026-07-08 21:00:00+00:00,83.97005547073616,65.59295829806912,50.5721876520611,134988.34910665563,125578.37458420968,134396.4347926189,143211.8136102618
2026-07-08 22:00:00+00:00,83.02364258158497,65.63906305803411,49.73498595747979,135183.14316689735,124832.35092656591,134471.48500611368,143217.3147088767
2026-07-08 23:00:00+00:00,81.87484812968083,65.70360171581677,48.90091335164183,133354.99224097084,122648.76935981507,132668.42369450783,142267.05395845234
2026-07-09 00:00:00+00:00,80.61381147564734,65.75295582932192,48.06711432265522,129148.0488930231,118767.880695132,128267.30771922332,137240.76269022832
2026-07-09 01:00:00+00:00,79.11755729662018,65.66657008508045,47.90069565989956,124815.94372274526,115718.973418752,124019.03881637799,132749.6363836756
2026-07-09 02:00:00+00:00,77.45806158550023,65.58100786982374,47.73205878182679,121443.6914944071,111903.95804108735,120575.38323517502,128534.31803282678
2026-07-09 03:00:00+00:00,75.7808344911709,65.49912965450505,47.56221173763375,115211.48154917819,104753.08755616074,114047.28364778834,121749.49349744066
2026-07-09 04:00:00+00:00,74.25984510028312,65.41251373933497,47.390026509213556,107387.650437697,100084.32419477636,106735.2561799189,113549.91687792748
2026-07-09 05:00:00+00:00,73.21830119920385,65.32871131225387,47.22964727490049,100997.71714596216,93089.95162934846,100528.99372485146,105654.94736485806
2026-07-09 06:00:00+00:00,72.5750064251251,65.24261308836054,47.05955297199262,95659.46446644631,88836.54258061391,94878.31569235666,99784.32698959007
2026-07-09 07:00:00+00:00,72.15251251826531,65.28926460751259,47.53130820469648,92229.83448960786,86336.17897585322,92020.67123550127,96973.83332224729
2026-07-09 08:00:00+00:00,71.70565142036536,65.33411140644841,48.004078655603365,90329.80341826833,84979.56899804628,90151.74750843567,95225.70576752686
